title,valence,setting,genre
The Apple of my Eye,positive,period,romance
Love on the Railroad,positive,period,romance
The Courtship of Edith & James,positive,period,romance
Ellis Island,positive,period,romance
A Railroad Station,positive,period,action
The Independence of Norway,positive,period,action
Rise of the People,positive,period,action
The Gold Seeker,positive,period,action
Planet of the Indigo,positive,scifi,romance
Cybernetic Romance,positive,scifi,romance
My 23rd Century Romance,positive,scifi,romance
Built to Last,positive,scifi,romance
The Scientist,positive,scifi,action
Playing the Game,positive,scifi,action
Space Warriors,positive,scifi,action
The World Dome,positive,scifi,action
The Love of the King,negative,period,romance
Poisonous Affairs,negative,period,romance
The Lady in Red,negative,period,romance
In Chains,negative,period,romance
Before the Trail,negative,period,action
The Challenger,negative,period,action
Nitot's Swords,negative,period,action
Out for Blood,negative,period,action
The Flood,negative,scifi,romance
Outdated,negative,scifi,romance
Quarantined,negative,scifi,romance
Lab Rats,negative,scifi,romance
The Lone Ranger,negative,scifi,action
Human Trafficking,negative,scifi,action
Where They've Gone,negative,scifi,action
400 Years,negative,scifi,action
